,Tweet,Sentimen
39,makanan nya enak  suasana nyaman  harga bisa dibilang sama dengan tempat lain  restoran ini ada 4 konsep tapi yang paling terkenal menu jepang nya yang enak loh,positive
40,kampung daun adalah tempat makan yang menyatukan konsep alam dan budaya dari daerah setempat  walaupun di dalam kompleks perumahan akan tetapi tempat tersebut cukup luas mempunyai mungkin sekitar 20 lebih saung  tempat makan dari yang kapasitas sedang hingga besar  kualitas makanan enak dan dengan ada nya suara riak air dari air terjun kecil di sana membuat suasana sangat nyaman untuk makan,positive
41,waktu itu ke sini pesan nasi goreng dan kentang goreng  nasi goreng nya semua suka  kentang goreng nya enak banget  dan presentasi nya bagus  keluarga bilang kopi nya enak  hal yang sangat baik di sini adalah tempat nya luas dan yang di luar bisa lihat pemandangan dusun bambu  tapi pelayanan nya tidak cepat sehingga saya harus bertanya beberapa kali tentang pesanan saya  harga nya cukup mahal  namun karena makanan nya enak semua jadi terbayarkan  tidak perlu pikir dua kali jika mau ke tempat ini lagi,positive
42,banyak sekali tempat makan sunda yang bertebaran di kota bandung  tetapi tidak tahu kenapa saya sangat jatuh hati dengan sebuah warung makan ini  ibu imas yang berada di dekat alunalun kota bandung menyuguhkan rumah makan sunda dengan karakter warung nasi zaman dahulu yang di mana kita bisa mengambil semua hidangan di depan kita tanpa harus melalui proses order yang biasa kita jumpai di warung makan,positive
43,hai tolong bantu saya tidak bisa input tidak resi jne dan kenomor resi sudah dipakai,neutral
44,foods  menu baru cheeseburger nya oke banget dan chicken wings pizza hut memang selalu juara  dirilis  mixing green tea yakult  perfect  satusatunya kekurangan pizza hut adalah pinggiran nya,positive
45,dusun bambu ini tergolong baru di bandung  tempat nya yang dekat banget sama almamater saya  membuat saya gampang cari ini tempat  pemandangan nya bagus  banyak tempat makan yang enakenak  beli nya nanti pakai voucher,positive
46,tidak memuaskan,negative
47,suruh mengaca pemain nya  dasar oneng  mengomong saja masih ala betawi lu  kampungan,negative
48,kafe ini menyajikan sensasi makan dalam gelap  cukup unik sih  tetapi lebih dari sekali  rasanya orang jarang datang lagi  hanya menarik untuk sekadar mencoba,negative
49,sesuai dengan nama nya mi awie  kedai makan ini menyediakan menu mi dengan olahan daging babi  selain mi masih ada pilihan lainnya seperti nasi goreng babi  capjay goreng  bakso  pangsit dan lainnya  kami mencoba menu mi babi casau special  rasanya  enak banget,positive
50,mardani ali sera  kemenangan di sosial media  akan selalu kemenangan di dunia nyata,neutral
51,terakhir ke tempat ini beberapa tahun yang lalu ketika masih berupa kafe  sekaramg sudah jadi penginapan dan boutique hotel  untuk yang travel bareng anakanak pasti suka menginap di sini  ada playground yang seru  swimming pool  high rope  flying fox kalau menginap dapat tiket gratis dan petik stroberi perlu pesan  karena suka ramai  menginap di sini banyak pilihan kamar  enak,positive
52,selamat pagi  wah kecewa berat masa indihome internet tidak kocek lagi  saya itu bayar mahal  jangan kecewakan kami sebagai pelanggan,negative
53,pokok nya kurang kurang afdol kalau ke lembang atau ke bandung tidak mampir ke sini  4 humas naik buat kampung daun,positive
54,kfc bandung supermall fasilitas nya lengkap luas  agak jarang ditemukan dikfc lainnya  keramahtamaan karyawan nya juga sangat bagus,positive
55,restoran sapu lidi memilik keunikan tersendiri  serasa makan di tengah sawah  dikelilingin kolam ikan dan juga nuansa persawahan  menu nya seperti makanan sunda lainnya  tapi ada satu menu favorit saya  jamur bakar  enak banget,positive
56,semua enak  mi abuabu  mi black  tahu cocol dan sayap ayam nya mantap  buat makan camilan bisa di sini,positive
57,nkri bersyariah  fpi  revolusi akhlaq  suara keadilan  laugh semua pada tersandung kasus  fpi  ulama nya tersandung obrolan mesum tidak berani pulang  nkri bersyariah  berarti tidak mengamalkan pancasila  sungguh miris,negative
58,bikin macet saja nih orang,negative
59,singapura selidiki penjualan prt indonesia di situs daring,neutral
60,pergi merayakan ulang tahun di tempat ini sangat berkesan  saya dengan istri memilih tempat ini  menu makanan variatif  dari makanan barat sampai lokal ada  sedia baju hangat  dingin sangat di sini,positive
61,sampai kapan pun saya tidak akan memilih orang pengecut seperti prabowo  menurut saya  dia tidak pantas memimpin negara,negative
62,jangan terlalu banyak iklan  perbaiki dulu jaringan kalian yang lamban,negative
63,kalau orang tiongkok masuk indonesia baru bisa maju  kalau andalkan orang pribumi otak nya jongkok,negative
64,cepat respon  pengiriman kilat  dan ramah  setelah akhirnya saya berputarputar di toko lain yang tidak jelas  saya bertemu toko juragan ini yang pelayanan nya sangat memuaskan  tangkap sangat juragan,positive
65,sok pencitraan sekali  basi sama gaya lu  lebih wibawa yang seragam coklat top deh buat pak anies,negative
66,ke sini beberapa tahun yang lalu bersama temanteman  suasana nya sangat menyenangkan dengan pemandangan yang bagus dan hawa dingin yang menyegarkan  akan lebih baik datang ke sini pada malam hari  steak nya enak,positive
67,dari saya debut  empat bagus tetapi yang bikin suka sekali itu tonight dengan saranghajima  tidak mengerti apa aku saja atau yang lain merasakan ini  winner adalah abang selain bigbang yang kalau nyanyi jiwa nya ikutan nyanyi  bagus banget  dan makin cinta dengan mereka setelah tahu sifat dan sikap saya,positive
68,sangat melelahkan malam ini,negative
69,marah,negative
70,tidak dong  aku pilih surabaya  eh pilih prabowo maksude  dan yang akan datang aku pilih yang selain jokowi seperti biasanya yang selain dari partai banteng moncong tepung  grinningfacewithsmilingeyes,negative
71,puas dengan servis nya  ramah  harga nya sebanding dengan pelayanan dan rasanya  pemandangan nya yang keren banget  cocok buat acara ngumpul bareng teman dan keluarga  pokok nya rekomendasi sekali  tidak menyesal deh  pokok nya harus ke sini lagi  saya dilayani oleh feriyana yang super ramah dan baik  pokok nya buat temanteman the 18th ini recommened sekali,positive
72,ini pertama kali saya makan abuba steak di luar jakarta  rasanya agak berbeda dengan yang saya biasa nikmati di abuba steak jakarta  kurang enak  suasana restoran nya oke  toilet nya sudah agak tua  harus sedikit diperbaharui,negative
73,ini xl jaringan nya jelek banget ya,negative
74,saya puas dengan games mobile legend,positive
75,saya bersama rekan kerja sengaja mencoba makan siang di sambal khas karmila cab  buah batu bandung  untuk tempat terbilang cozzy dan cukup nyaman jika di lantai atas  sedangkan lantai dasar saya rasa tidak lebih dari tempat makan makanan cepat saji yang cukup penuh dengan hiruk pikuk pelanggan  rasa ayam bakar di sini sangat saya rekomendasikan bersama sambal mangga  terkait harga terbilang relative,positive
76,kuah bakso nya terlalu asin menurut saya  masih enakan yang dijual keliling di malang  tapi tempat nya bagus buat menjamu teman  ada di banyak lokasi dan selalu ramai  selain bakso juga menyediakan capcay  nasi goreng dan lainlain yang menurut saya justru lebih enak,positive
77,saya sebagai warga jakarta malu kang sama oknum yang tidak bertanggung jawab yang mau sweeping bobotoh,negative
78,tenderloin steak nya juara  tempat mudah diakses memaki pun tersembunyi  nyaman  tema zaman dahulu  tidak ramai  pelayanan biasa,positive
79,ini adalah salah satu restoran chinese yang sudah ada sejak lama  masakan dari kepiting nya favorit juara  biasa saya pesan kepiting rebus  babat toge dan cah kangkung,positive
80,para cebong yang selama ini menuduh saya mencuri uang sedekah 30  silakan anda urus sih aris wahyudi ini  dia ambil komisi 20  untuk transaksi pelacuran berkedok agama  berani tidak  membulat sih aris wahyudi ini  atau kamu semua cuma berani sama jonru,negative
81,menarik pilkada jawa barat ini  ada ridwan kamil berpasangan dengan tokoh dari dc universe,positive
82,suasana di kantor dpc kab bogor menjelang pidato awal tahun 2018 oleh,neutral
83,kalau djarum memang agak tidak kuat  dia baru kerasa tidak bagus nya pas akhir bakaran,negative
84,bakmi tasik saya dan beberapa teman mampir dan coba bakmi bakso nya  makanan nya biasabiasa saja  tidak ada yang special,negative
85,lokasi pandan wangi sebenarnya agak jauh dari pusat kota bandung  tapi masih terjangkau  sekitar 15 menit dari jalan asia afrika  patokan jalan nya ada di jalan talaga bodas  dari sana tinggal mencari papan petunjuk pandan wangi  saat kami datang jam 1 siang sudah menanti begitu banyak orang  kebanyakan yang datang keluarga dan anakanak  sambil menunggu disajikan gorengan dari ubi  singkong yang lumayan enak,positive
86,pertama kalinya datang ke eatalia  saya datang bersama dengan teman dan 1 orang anak  tidak memsungkan ketika memlilih makanan untuk anak karena di sini menyediakan menu dengan porsi anak  kami memesan cheese bacon deluxe  pizza dengan roti berwarna hitam  untuk keseluruhan menu yang saya pesan tidak mengecewakan,positive
87,rasanya lumayan  sambel nya juga enak  apalagi disajikan 3 macam model begitu  terus banyak pilihan sih sebenarnya mau makan apa di sini  mau gurame  mau kakap  bawal  kerang  cumi  udang  macemmacem deh  asal jangan pesan ikan kembung saja  tidak ada di sini,positive
88,berlokasi di salah satu tempat belanja dan rekreasi di cihampelas wali bandung  resto ini tidak mengecewakan  sajian nya cukup beragam  untuk rasanya  resto ini bisa menyajikan nya dengan cukup enak dan nikmat  sangat cocok untuk bersantap dengan pasangan atau keluarga,positive
89,dizaman ini masih ada mbak mbak online shop yang tidak tahu aplikasi gojek gocar gosend ya allah bodoh sekali  jualan dihutan aku rasa,negative
90,restoran ini juga terletak di tempat stategis yaitu jalan dago  tepat nya di sebelah hotel holiday inn  sesuai judul nya  restoran ini menyediakan berbagai menu masakan aceh  favorit saya adalah mi aceh  harga standar tapi tidak terlalu mahal  jangan lupa coba roti canai nya,positive
91,bihun goreng nya enak  bisa meminta tidak banyak minyak  makanan di sini mengandung babi jadi tidak halal  es teh tawar porsi nya besar dan memuaskan,positive
92,lokasi tes tidak jelas  ditelepon tidak diangkat  di email cuma auto reply  tidak rekomendasi  aku baru sadar something adalah wong pas mampir ke kantor nya dan mereka cerita bahwa pernah held tes di hotel dan ruang sebelah ada kondangan  they told that without remorse,negative
93,sate kambing dan gulai kambing nya maknyus  penyajian makannan nya juga sangat cepat  tempat nya cukup bersih,positive
94,yue ke hotel yang di mongkok hongkong  tidak ada  bulan juni lalu  saya booked dan sudah bayar untuk 2 kamar  tapi hotel tidak ditemukan,negative
95,poach salmon nya enak  pelayanan nya enak  scenery nya mantap  tank tapi amanda dan worth itu banget deh  pasti kembali lagi,positive
96,orang cina makanan legendaris sudah lama banget nih orang cina makanan satu ini semuanya enak yang tidak enak cuma parkir nya saja aujubila susah nya parkir harus di seberang karena depan resto trotoar  jadi harus sabar sekalisekali  sedih deh,negative
97,makan di restoran pizza ini paling enak jika bersama teman  menikmati paket sensasi delight yang harga nya sangat terjangkau oleh semua kalangan,positive
98,hasil quick count pilgub kaltim 2018  isran  hadi unggul,neutral
99,kenapa kamu jerat buni yani undangundang ite  padahal jelasjelas itu video berasal dari youtube yang diunggah oleh pemprov itu sendiri  harus nya yang kena undangundang ite itu pemprov bukan buni yani  ya kan,negative
100,paket gim benarbenar mantap  yang megah harus makan di sini  dijamin makin keren  bravo,positive
101,di dekat gubernuran  tidak jauh dari jembatan penyebrangan  ada gang yang di dalam nya terdapat makanan yang sudah ada sejak zaman ibu saya  rasa kuah lontong kari kental dan agak manis  cocok ditambahkan acar yang ada di meja  porsi nya mengenyangkan,positive
102,berada di tengah tengah jalan braga  tempat nya lumayan enak untuk nongkrong  ada live musik  makanan nya pun lumayan,positive
103,sebagai pengguna setia produk mereka  kecewa banget sama pelayanan pusat servis asus yang tidak jujur dan menyepelekan pendapat pelanggan,negative
104,tempat makan pasta yang sudah tidak asing lagi apa lagi kalau bukan pizza hut  posisi pizza di tempat ini sangat nyaman inside mal atau outside mal berhadapan langsung dengan jalan merdeka anda bisa memanjakan mata sekadar melihat rutinitas orangorang di sekeliling  letak sangat strategis dapat di lalu dengan angkutan umum,positive
105,tempat makan ini nengusung konsep kembali tapi alam  kita makan di saung  dan sepanjang jalan menuju saung kita akan disuguhi pemandangan indah  suasana makan cukup nyaman  pelayanan cepat  rasanya enggan pulang  harga relatif standart tidak mahal untuk sekelas itu  rasa makanan sebenarnya standart saja  yang pasti suasana yang mantap,positive
106,memberi cabai nya tidak pelit  masak nya cepat banget  rasanya enak  cuma kurang sayuran saja  tapi enak,positive
107,saya tadinya penasaran dengan tempat ini karena di tempat nya banyak sekali fotofoto kunjungan para artis ke tempat ini tapi pas saya pesan makanan unggulan di tempat ini saya rasa tidak setinggi pemikiran saya yang ada biasa saja dan keras  jadi aneh bagi saya tempat ini bisa sebegitu terkenal nya,negative
108,kang  jalan di muararajeun baru  baru sebulanan dibenarkan  sudah rusak lagi  yang mengerjakan seperti tidak serius,negative
109,jangan pernah kecewa dengan apa yang diberikan oleh tuhan,positive
110,masakan jepang ada yang saya suka dan ada yang tidak  tapi dengan menu masakan yang satu ini karubi pas di lidah saya dan keluarga  dan tempat ini juga menyediakan tempat bermain untuk anakanak harga makan di resto ini agak tinggi sih  tapi enak sekali masakan nya,positive
111,tempat nya sih biasa saja  tidak ada yang istimewa  bahkan menurut saya  tempat nya ini menjadi sedikit nilai minus untuk penilaian kali ini  parkir yang tidak terlalu luas serta dekorasi ruang makan yang biasa saja  tapi lain lagi kalau kita bicara soal makanan  karena untuk urusan ini  red dipo punya banyak nilai plus  makanan nya bervariasi dengan rasa yang di atas ratarata,positive
112,makan kaki kambing paha yang empuk dan lumayam besar untuk ukuran medium  pas untuk satu orang  makan tanpa nasi  dengan es lemon tea  segar kekurangan nya hanya tempat nya berasap  wajar kan namanyanjg kambing bakar hehehe,positive
113,bukti bahwa sunda memang gudang mode dan makanan  tidak dapat dijelaskan bagaimana enak nya bakmi parahiyangan  pokok nya pasti ketagihan,positive
114,sebenarnya barang kau juga banyak yang bagus kualitas  seringkali nih ya ternyata pas kita lihat eh ternyata barang nya memang bagus bahan nya,positive
115,melihat itu kader demokrat ribut dengan pak hnw dari pks  hanya karena demiz tidak jadi dicalonkan  jijik baca nya,negative
116,saat makan di sini kebetulan saat libur panjang kemerdekaan 17 agustus  diperlukan waktu 40 menit lebih untuk antre  sistem pesan terlebih dahulu saat reservasi tidak diijinkan  padahal dapat menghemat waktu  tempat solat berada di depan pintu masuk dan permainan seni yang dimainkan sangat berdekatan dengan musola sehingga sangat menganggu ibadah  satu hal yang paling menakjubkan adalah suasana alam yang menyatu,positive
117,tak usah menonton film itu  bahasa jawa semua  sudah tidak mengerti  tidak punya teks  jelek lagi film nya  tindak pantas tayang di layar besar,negative
118,chacha itu makanan ringan terenak dan tepat buat menemani waktu tugas,positive
119,ini sih monyet bawah gua  nama nya saja anonim pengecut pakai simbol  bisa nya cuma mengatakan orang  memang hidup situ benar anjing  nama saja tidak berani sebut  malu ya mending apa takut,negative
120,kami sudah bosan dengan janjijanji kalian,negative
121,tempat yang cocok untuk relax dengan keluarga  pelayanan nya bagus  makanan enak dan yang pemandangan  pemandangan nya mantap,positive
122,fadli zon anjing kau  tidak usah kau sok polos,negative
123,paling enak di sini tuna mayo pizza nya yang pinggir nya pakai cheesy bites  harga cukup murah  pelayanan cukup baik  tempat strategis,positive
124,sulit sekali mengerti orang yang merasa selalu benar,negative
125,bagaimana tidak romantis  udara dingin  suasana yang tenang dengan makanan yang lezat sambil menikmati keindahan kota bandung  sangat romantis sekali,positive
126,nanda mulai bekerja di dhl indonesia bulan depan,neutral
127,omongan nya pak anies itu suka kebalikkan nya  kalau percaya terus menerus bisa gila,negative
128,saya datang dengan pasangan untuk liburan  tempat ini sangat asri  sejuk  pemandangan sangat menarik  makanan tidak terlalu mahal tetapi menggugah selera,positive
129,rasa enak banget  wajib dicoba buat pecinta ayam bakar  harga pun sepadan  lebih enak kalau makan barengbareng sama keluarga tercinta  tempat makan nya enak,positive
130,rakyat mah tidak panik sudah biasa hampir 4 tahun belakangan ini di kibulin terus  istana itu yang panik segala jurus tipu sudah dikeluarkan tetapi tidak mempan rakyat nya deh pada pintar  kecuali penghuni kolam butek yang masih senang diumpankan tipu tipu hap hap hap,negative
131,alhamdulillah  warga perbatasan bisa merasakan buah dari pembangunan  kita yang sudah lama menikmati mereka menunggu 72 tahun setelah merdeka dan sekarang 73 tahun merasakan nya  terima kasih pak jokowi  dari awal saya memang tidak pernah benci pak jokowi  justru saya salut sama beliau,positive
132,berlokasi di daerah ciumbuleuit  agak terpencil  tapi kafe ini sudah cukup lama ada  tadinya hanya berupa halaman rumah yang di sulap menjadi tempat makan terbuka di taman  sederhana dan sunyi  buat mereka yang ingin nongkrong di cafe tanpa keributan  hiruk pikuk dan terlalu banyak orang  di sini tempat nya  makanan cukup oke dan bisa bersama lama,positive
133,ingin marah ke indosat,negative
134,kampung bareto terletak di dataran tinggi bandung utara  menyajikan makanan indonesia dan makanan barat dengan saung lesehan dan meja makan  bisa juga digunakan untuk pertemuan keluarga  arisan dan makan bersama teman dalam jumlah banyak  cocok untuk menjamu tamu dan bersantai  setiap malam minggu disajikan musik live  tersedia juga kolam ikan untuk memancing  harga makanan di bawah 100k id suasana nya tenang dengan pelayan yang sangat baik,positive
135,yusri maling dan kepala maling di belakang nya  ayo pejabat jakarta  cabut ktp dki nya  rakyat miskin yang sudah dibantu dari pajak orangorang beruang kok bergaya lagi,negative
136,senang sekali bisa berkunjung di ayam penyet bu tris  banyak menu yang tersedia  tapi pada saat itu saya hanya mencoba makanan sate  sungguh nikmat dan romantis sekali makan sambil ditemani dengan alunan live musik,positive
137,pertama kali saya makan di sini secara tidak sengaja karena melihat antrean orang di depan restauran  rasanya enak  porsi mengenyangkan  harga terjangkau  kalau tidak terlalu lapar  sebaiknya pesan 1  2 porsi saja,positive
138,nasi goreng hijau tren botti nya enak  yang lain okeoke saja  jus lumayan segar  tempat nya lumayan buat ngumpulngumpul sama keluarga,positive
139,kalau menurut kami ini merupakan restoran rekomendasi di bandung dari awal datang pelayanan nya bagus bagus pelayanan selain itu pemandangan di sini juga kece banget  makanan nya juga enak  tidak menyesal deh datang ke sini,positive
140,dasar gubernur tidak bermutu  pecat saja dari gubernur,negative
141,keren sekali tempat nya  benar benar sesuai dengan nama nya the 18th restoran dan lounge  nyaman sekali tempat nya  cocok banget buat makan sama keluarga  rata rata yang ke sini sama pasangan nya sih  tapi sama kelurga juga lebih asik kok  pelayan nya baik banget  ramah pula  untuk harga makan nya juga standar kok,positive
142,makan siang yang memuaskan  menu dengan buffet system  rasa enak dengan penyajian yang uni juga cara menikmati nya dengan makan langsung beralaskan daun pisang  sensasional  mencoba menu tutut yang dimasak kuning dan jengkol crispy  itu sih incredible but quite yummy  rekomendasi,positive
143,mantap sekali  ambo kue lembut dan legit  kuah yang banyak  lokasi dan tempat terbatas  di sini jual juga makanan lain seperti nasi tim ayam yang enak,positive
144,seorang teman mengajak hang out saat sore  sayang nya tempat parkir hanya muat tidak lebih dari 5 mobil  jadi susah dan lumayan menghabiskan waktu yang lama hanya untuk mencari tempat parkir,positive
145,makanan nya enak dan variasi makanan lumayan banyak  buka sampai malam dan cocok untuk yang cari makanan di malam hari,positive
146,auto mual  mie nya kelembekan  molor nya hancur  cuek,negative
147,kubu djarot klaim unggul di real count sementara,neutral
148,pun tahu  cap cay  kangkung nya lumayan tapi kepiting saus padang nya mengecewakan kami dikasih kepiting yang kopong akhir kami tidak makan kepting nya dan dikembalikan,negative
149,kericuhan yang terjadi pengujung debat kedua pilgub jabar pada 14 mei 2018 yang lalu  menimbulkan silang pendapat dari para kontestan debat,neutral
150,yamien manis nya mirip banget dengan mi nursijan yang asli yang sekarang sudah tidak ada lagi karena sih angka nya sudah almarhum  nasi goreng nya juga rekomendasi,positive
151,semakin sedikit engkau berbicara tentang kualitas mu  semakin orang ikhlas menghargai kehebatan mu,positive
152,paketan nya murah dan setimpal banget  aku pakai unlimited 60k sinyal bagus  bisa streaming terusterusan  meskipun sup nya turun tetapi tetap bisa internetan  tidak kuatir kuota habis  tidak perlu merekmerek kuota lagi  tidak menyesal beli ini,positive
153,mengapa poor  dulu waktu saya makan di sana  interior belum bagus  parkir juga susah  rasa makanan semua manis termasuk sayur asem nya,negative
154,menurut surabaya  yang dipilih dari pilkada adalah sosok bukan partai politik,neutral
155,untuk warga bandung yang senang menikmati kuliner bandung  pasti nya tahu restoran satu ini  sejak saya kecil orang tua saya kerap membawa saya untuk menikmati sate yang satu ini  ukuran nya yang cukup besar serta bumbu kacang nya yang khas selalu memaksa saya untuk kembali lagi ke restoran ini  bagi anda yang belum pernah mencoba nya  saya sangat merekomendasikan restoran ini,positive
156,tempat nyaman  retro  menu andalan nya adalah grill  tapi saya pesan nasi goreng sea food  dan rasanya enak,positive
157,menyesal beli first press regular karena isi photobooka nya alur seperti jodoh,negative
158,saya tidak suka beliau jokowi yang masih jadi presiden,negative
159,percayakah masyarakat indonesia dengan karangan bapak polisi yang terhormat ini  yang kata nya sudah bertemu dengan pemotor nya  silakan anda nilai mengarang di bawah ini  dapat nilai berapa,negative
160,angka satu dianggap menjadi pembawa hoki di pilkada jawa,neutral
161,tidak bakal salah kalau pesan jus stroberi  nasi liwet sama sop buntut nya   cek out their butik villa  cocok buat yang mau relaxing seharian di pinggir kolam dengan buku atau ipad  surga,positive
